FileID,Audio Duration
3131b24e32d7cab29107ed9d94ec453a891554bd6d22d395fefed24e24b7b340.wav,4.0
1919a1b474ef1025dcd960313755801d296639e112fc0f23d778e1233002253d.wav,6.41
07ee5fc04c26a7262e97d7f7bec476dc368a4b2b6860ee7847d754ed71ba7a4e.wav,5.58
2aded275c501bb61b4182432738fc0b8fd89aad00de982628a31062574589a77.wav,5.18
2e31a39d82e2773b0e2ef4391c95f65541e4ddee29511e53256410cb7823fe1c.wav,4.43
3448ee27862b4b7984fbfb0d38a0bd3ceef65fed5e03a8609fd6e172b1b37a46.wav,4.97
00cf5372fda650d19f01a13b74696a4787e0927e4556fe1fdefc9f526154d305.wav,1.01
1deab6aa9d512bc25acdceafc47e4fc45ab7e1fe0097c3cb2d59eeed84c7e885.wav,4.14
045e375e98f0c1c6379f710c309fbfc20c3ea08b2b1f07bfff783e59b70b2bfd.wav,5.08
2947f6cb92dacdd62e376b8770be5c14478e47003dbb53928471d3b3553cf056.wav,4.25
11f2944a630eeaa2cdadc71be96a0f0bf828799353e1a7cd89d2ce266fe251be.wav,3.64
1a9a1808a2c6f405bc66080173921059a4b107143a0ff422e20e35636cc32197.wav,3.1
242d5a4e705958024908c560b4158dab735e10e592e240ce0de2896bc4ddda7f.wav,3.6
16d775621781d6cbf622d8cee78456c2846060fdc253367cf977e992ffa51015.wav,5.33
0e4179f7b93025b6b19f6d6bc6e0085d8cdfa8eff3dcabc5c1e22afc4d98354d.wav,2.99
232937da805de7af9ed71c1395b702e905b938ea92a9312cecf47a84f74b3988.wav,2.99
08b45fdc4312f1598cf27be36eb62dc68e622f131b7be1f94eef85f3d015c2c1.wav,4.72
25e132ec1ccd61e7364cd64684c459c74e95ca758a0549576466711779d25d50.wav,2.52
1bd25ad09b4f5fcd30fcbe859aec687348f219aee17a1ae72cac63f9e8f2da9b.wav,5.04
2a175c09ff94e9a25ad12d9647096b944e2af7f7d4a02a91fa807b2ce01a3c5c.wav,3.92
